--------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  D:\Program Files\Stata15\frequencia_cnae.txt
  log type:  text
 opened on:  19 Feb 2025, 17:13:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD4360_000000.tmp"

. tabulate cnae20subclasse, sort

   CNAE 2.0 |
  Subclasse |      Freq.     Percent        Cum.
------------+-----------------------------------
    3514000 |     19,163        0.13       73.71
    1061901 |     19,144        0.13       73.84
    2751100 |     19,107        0.13       73.97
    1330800 |     18,889        0.13       74.10
    4632001 |     18,651        0.13       74.22
    4789001 |     18,276        0.12       74.35
    9411100 |     18,190        0.12       74.47
    1540800 |     18,170        0.12       74.59
    1510600 |     18,121        0.12       74.71
    4771702 |     18,095        0.12       74.83
    4330499 |     18,025        0.12       74.96
    1351100 |     17,981        0.12       75.08
    2920401 |     17,945        0.12       75.20
    1629301 |     17,928        0.12       75.32
    4761003 |     17,915        0.12       75.44
    6204000 |     17,839        0.12       75.56
    8630502 |     17,836        0.12       75.68
    2330302 |     17,748        0.12       75.80
    9602502 |     17,385        0.12       75.92
    6319400 |     17,047        0.11       76.03
    4929902 |     16,674        0.11       76.14
    5310501 |     16,564        0.11       76.25
    5223100 |     16,472        0.11       76.36
    8593700 |     16,467        0.11       76.48
    4622200 |     16,397        0.11       76.59
    4530705 |     16,285        0.11       76.70
    2945000 |     16,131        0.11       76.80
    6822600 |     16,128        0.11       76.91
    4723700 |     15,692        0.11       77.02
    6622300 |     15,419        0.10       77.12
    6311900 |     15,405        0.10       77.23
    6423900 |     15,325        0.10       77.33
    2013402 |     15,290        0.10       77.43
    4744002 |     15,277        0.10       77.53
    8230001 |     15,272        0.10       77.64
    4663000 |     15,172        0.10       77.74
    4741500 |     15,111        0.10       77.84
     230600 |     14,978        0.10       77.94
     161003 |     14,939        0.10       78.04
    4724500 |     14,905        0.10       78.14
    2342702 |     14,840        0.10       78.24
    2219600 |     14,810        0.10       78.34
    1359600 |     14,793        0.10       78.44
    4222701 |     14,667        0.10       78.54
    1094500 |     14,665        0.10       78.64
    4921302 |     14,636        0.10       78.74
    6110801 |     14,297        0.10       78.83
    2543800 |     14,285        0.10       78.93
    2823200 |     14,269        0.10       79.03
    1733800 |     14,224        0.10       79.12
    5211799 |     14,000        0.09       79.22
    1092900 |     13,950        0.09       79.31
    4511102 |     13,649        0.09       79.40
    2941700 |     13,585        0.09       79.49
    4689399 |     13,583        0.09       79.58
    5611204 |     13,548        0.09       79.68
     111399 |     13,444        0.09       79.77
    1340502 |     13,393        0.09       79.86
    2229301 |     13,283        0.09       79.95
    6821801 |     12,876        0.09       80.03
    4722901 |     12,854        0.09       80.12
    1062700 |     12,833        0.09       80.20
    9499500 |     12,705        0.09       80.29
    7711000 |     12,682        0.09       80.38
    3102100 |     12,610        0.08       80.46
    4672900 |     12,586        0.08       80.55
    7120100 |     12,537        0.08       80.63
    4922101 |     12,526        0.08       80.71
    5231102 |     12,370        0.08       80.80
    2710402 |     12,344        0.08       80.88
    4713002 |     12,336        0.08       80.96
    4642701 |     12,326        0.08       81.05
    8541400 |     12,270        0.08       81.13
    6462000 |     12,192        0.08       81.21
    2391503 |     12,109        0.08       81.29
    9601701 |     12,080        0.08       81.37
    7740300 |     12,073        0.08       81.45
    4729602 |     11,995        0.08       81.54
    4783101 |     11,967        0.08       81.62
    7911200 |     11,945        0.08       81.70
    4671100 |     11,934        0.08       81.78
    4721104 |     11,897        0.08       81.86
    2342701 |     11,890        0.08       81.94
    6010100 |     11,874        0.08       82.02
    1411801 |     11,727        0.08       82.10
    6821802 |     11,592        0.08       82.17
    1020102 |     11,560        0.08       82.25
    7739099 |     11,556        0.08       82.33
    4637199 |     11,519        0.08       82.41
    1813099 |     11,503        0.08       82.48
    2593400 |     11,454        0.08       82.56
     155502 |     11,382        0.08       82.64
     210107 |     11,370        0.08       82.71
    4634601 |     11,336        0.08       82.79
    4743100 |     11,334        0.08       82.87
    8299706 |     11,325        0.08       82.94
    1731100 |     11,305        0.08       83.02
    2229303 |     11,194        0.08       83.09
    3011301 |     11,039        0.07       83.17
    6190601 |     11,007        0.07       83.24
    2910701 |     10,914        0.07       83.32
     210103 |     10,821        0.07       83.39
    2099199 |     10,785        0.07       83.46
    1041400 |     10,683        0.07       83.53
    2063100 |     10,673        0.07       83.61
    8542200 |     10,564        0.07       83.68
    4789002 |     10,531        0.07       83.75
     162899 |     10,449        0.07       83.82
    2542000 |     10,442        0.07       83.89
    2840200 |     10,309        0.07       83.96
    8640205 |     10,300        0.07       84.03
     151202 |     10,283        0.07       84.10
    2651500 |     10,276        0.07       84.16
    2539002 |     10,254        0.07       84.23
    4763602 |     10,224        0.07       84.30
    4520005 |     10,172        0.07       84.37
     810099 |     10,151        0.07       84.44
    4784900 |     10,148        0.07       84.51
    1122401 |     10,126        0.07       84.58
    9321200 |     10,102        0.07       84.64
    7732201 |     10,092        0.07       84.71
    2862300 |     10,082        0.07       84.78
    4763601 |      9,989        0.07       84.85
    8630501 |      9,986        0.07       84.91
    4649499 |      9,919        0.07       84.98
    2121101 |      9,847        0.07       85.05
    4292802 |      9,779        0.07       85.11
    4322302 |      9,765        0.07       85.18
    1093701 |      9,761        0.07       85.24
    2610800 |      9,716        0.07       85.31
    8690999 |      9,550        0.06       85.37
    2532201 |      9,479        0.06       85.44
    4757100 |      9,411        0.06       85.50
    7500100 |      9,386        0.06       85.56
    2731700 |      9,384        0.06       85.63
    2710403 |      9,361        0.06       85.69
    3314710 |      9,219        0.06       85.75
    2330305 |      9,183        0.06       85.81
    8130300 |      9,153        0.06       85.88
    1053800 |      9,145        0.06       85.94
    5250804 |      9,111        0.06       86.00
    1623400 |      9,104        0.06       86.06
    8299701 |      9,099        0.06       86.12
    8730199 |      9,061        0.06       86.18
    1113502 |      9,044        0.06       86.24
    4693100 |      9,016        0.06       86.30
    2822402 |      8,937        0.06       86.36
    1321900 |      8,904        0.06       86.42
    4692300 |      8,901        0.06       86.48
    4645101 |      8,895        0.06       86.54
    6424704 |      8,893        0.06       86.60
    2814301 |      8,890        0.06       86.66
    5510803 |      8,880        0.06       86.72
    1311100 |      8,813        0.06       86.78
     163600 |      8,797        0.06       86.84
    1741902 |      8,762        0.06       86.90
    1813001 |      8,645        0.06       86.96
    1539400 |      8,615        0.06       87.02
    3511501 |      8,585        0.06       87.07
    1020101 |      8,562        0.06       87.13
    2813500 |      8,560        0.06       87.19
    4771704 |      8,541        0.06       87.25
    4520002 |      8,539        0.06       87.30
    4322301 |      8,538        0.06       87.36
    5320202 |      8,523        0.06       87.42
    1013902 |      8,494        0.06       87.48
    2071100 |      8,464        0.06       87.53
    2319200 |      8,437        0.06       87.59
    4755502 |      8,400        0.06       87.65
    2541100 |      8,384        0.06       87.70
    7210000 |      8,375        0.06       87.76
    1340599 |      8,286        0.06       87.82
    4761001 |      8,193        0.06       87.87
    4646001 |      8,157        0.05       87.93
    3292202 |      8,144        0.05       87.98
    4686902 |      8,119        0.05       88.03
    2790299 |      8,028        0.05       88.09
    4669999 |      7,969        0.05       88.14
    2221800 |      7,966        0.05       88.20
    4789005 |      7,936        0.05       88.25
    1096100 |      7,921        0.05       88.30
    5221400 |      7,914        0.05       88.36
    6810202 |      7,848        0.05       88.41
    3314799 |      7,784        0.05       88.46
    1422300 |      7,756        0.05       88.51
     111302 |      7,750        0.05       88.57
    4511104 |      7,718        0.05       88.62
    1069400 |      7,676        0.05       88.67
    2223400 |      7,672        0.05       88.72
    2943300 |      7,652        0.05       88.77
    4212000 |      7,628        0.05       88.82
    4687703 |      7,573        0.05       88.87
    3832700 |      7,539        0.05       88.93
    2733300 |      7,533        0.05       88.98
    1414200 |      7,522        0.05       89.03
    1521100 |      7,491        0.05       89.08
    1031700 |      7,454        0.05       89.13
