----------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann\frequencia_cbo.txt
  log type:  text
 opened on:   8 Feb 2025, 21:35:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD1930_000000.tmp"

. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     623305 |     13,972        0.09       77.47
     313220 |     13,898        0.09       77.56
     724410 |     13,742        0.09       77.65
     715230 |     13,737        0.09       77.74
     515215 |     13,712        0.09       77.84
     413205 |     13,659        0.09       77.93
     333105 |     13,410        0.09       78.02
     411025 |     13,337        0.09       78.11
     223605 |     13,295        0.09       78.20
     721405 |     13,280        0.09       78.29
     422305 |     13,214        0.09       78.38
     813125 |     13,170        0.09       78.46
     764305 |     13,030        0.09       78.55
     732120 |     12,987        0.09       78.64
     784110 |     12,889        0.09       78.73
     241005 |     12,781        0.09       78.81
     764205 |     12,734        0.09       78.90
     223710 |     12,623        0.08       78.98
     251510 |     12,534        0.08       79.07
     773325 |     12,515        0.08       79.15
     782515 |     12,500        0.08       79.24
     224120 |     12,499        0.08       79.32
     721210 |     12,399        0.08       79.40
     842120 |     12,105        0.08       79.48
     312105 |     12,023        0.08       79.57
     391215 |     12,019        0.08       79.65
     142115 |     11,939        0.08       79.73
     623110 |     11,925        0.08       79.81
     725505 |     11,881        0.08       79.89
     723315 |     11,870        0.08       79.97
     422205 |     11,756        0.08       80.05
     515305 |     11,706        0.08       80.13
     841505 |     11,655        0.08       80.20
     715305 |     11,608        0.08       80.28
     262410 |     11,588        0.08       80.36
     313215 |     11,496        0.08       80.44
     761005 |     11,491        0.08       80.51
     239220 |     11,482        0.08       80.59
     234624 |     11,402        0.08       80.67
     732130 |     11,391        0.08       80.74
     862120 |     11,313        0.08       80.82
     992115 |     11,257        0.08       80.90
     514215 |     11,217        0.08       80.97
     352210 |     11,210        0.08       81.05
     413210 |     11,004        0.07       81.12
     354135 |     10,897        0.07       81.20
     351405 |     10,824        0.07       81.27
     411020 |     10,820        0.07       81.34
     333110 |     10,792        0.07       81.41
     232155 |     10,696        0.07       81.49
     514110 |     10,662        0.07       81.56
     731135 |     10,639        0.07       81.63
     731175 |     10,632        0.07       81.70
     848515 |     10,546        0.07       81.77
     391115 |     10,531        0.07       81.84
     314110 |     10,466        0.07       81.91
     763010 |     10,414        0.07       81.98
      21110 |     10,379        0.07       82.05
     313105 |     10,378        0.07       82.12
     840105 |     10,325        0.07       82.19
     721430 |     10,241        0.07       82.26
     716305 |     10,240        0.07       82.33
     324115 |     10,229        0.07       82.40
     223208 |     10,218        0.07       82.47
     317205 |     10,186        0.07       82.54
     723330 |     10,119        0.07       82.60
     354130 |     10,084        0.07       82.67
     414120 |     10,016        0.07       82.74
     725010 |      9,916        0.07       82.81
     351305 |      9,847        0.07       82.87
     421105 |      9,833        0.07       82.94
     141410 |      9,762        0.07       83.00
     724220 |      9,700        0.07       83.07
     231305 |      9,667        0.07       83.13
     414115 |      9,646        0.06       83.20
     732105 |      9,627        0.06       83.26
     231340 |      9,569        0.06       83.33
     623015 |      9,407        0.06       83.39
     321105 |      9,335        0.06       83.45
     333115 |      9,286        0.06       83.52
     231315 |      9,184        0.06       83.58
     212410 |      9,024        0.06       83.64
     772105 |      8,987        0.06       83.70
     773120 |      8,952        0.06       83.76
     511215 |      8,788        0.06       83.82
     142205 |      8,756        0.06       83.88
     123105 |      8,742        0.06       83.94
     519940 |      8,694        0.06       84.00
     334105 |      8,660        0.06       84.05
     314410 |      8,630        0.06       84.11
     911205 |      8,603        0.06       84.17
     763110 |      8,508        0.06       84.23
     763105 |      8,466        0.06       84.28
     233135 |      8,429        0.06       84.34
     724510 |      8,418        0.06       84.40
     513610 |      8,345        0.06       84.45
     513430 |      8,313        0.06       84.51
     223305 |      8,309        0.06       84.57
     301105 |      8,282        0.06       84.62
     420135 |      8,209        0.06       84.68
     513420 |      8,198        0.06       84.73
     953115 |      8,190        0.06       84.79
     141615 |      8,106        0.05       84.84
     841484 |      8,051        0.05       84.90
     715135 |      8,028        0.05       84.95
     300305 |      7,979        0.05       85.00
     271105 |      7,913        0.05       85.06
     716405 |      7,803        0.05       85.11
     762005 |      7,789        0.05       85.16
     721105 |      7,765        0.05       85.21
     354140 |      7,754        0.05       85.27
     841408 |      7,644        0.05       85.32
     622110 |      7,610        0.05       85.37
     410240 |      7,608        0.05       85.42
     413105 |      7,585        0.05       85.47
     721225 |      7,573        0.05       85.52
     999999 |      7,562        0.05       85.57
     513215 |      7,518        0.05       85.62
     841810 |      7,492        0.05       85.67
     342315 |      7,477        0.05       85.72
     517310 |      7,471        0.05       85.77
     354305 |      7,432        0.05       85.82
     253225 |      7,399        0.05       85.87
     420105 |      7,314        0.05       85.92
     766315 |      7,296        0.05       85.97
     141710 |      7,280        0.05       86.02
     351430 |      7,155        0.05       86.07
     765235 |      7,090        0.05       86.12
     517215 |      7,055        0.05       86.16
     232120 |      7,036        0.05       86.21
     715545 |      6,923        0.05       86.26
     821450 |      6,912        0.05       86.31
     521120 |      6,871        0.05       86.35
     724115 |      6,846        0.05       86.40
     222110 |      6,806        0.05       86.44
     313310 |      6,801        0.05       86.49
     731320 |      6,794        0.05       86.53
