---------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann
> \frequencia_cbo.txt
  log type:  text
 opened on:  25 Jan 2025, 16:16:16

. 
. * Executar o comando
. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     342125 |      6,045        0.10       78.54
     516210 |      5,828        0.10       78.64
     732120 |      5,802        0.10       78.74
     773325 |      5,743        0.10       78.83
     333105 |      5,652        0.09       78.93
     231305 |      5,472        0.09       79.02
     515215 |      5,467        0.09       79.11
     351505 |      5,405        0.09       79.20
     862120 |      5,369        0.09       79.29
     422120 |      5,236        0.09       79.38
     716305 |      5,224        0.09       79.47
     232120 |      5,159        0.09       79.56
     422305 |      5,108        0.09       79.64
     992115 |      5,082        0.09       79.73
     232135 |      5,028        0.08       79.81
     725105 |      4,992        0.08       79.90
     782515 |      4,970        0.08       79.98
     724410 |      4,944        0.08       80.06
     333110 |      4,937        0.08       80.15
     352210 |      4,936        0.08       80.23
     232140 |      4,890        0.08       80.31
     715135 |      4,888        0.08       80.39
     841505 |      4,883        0.08       80.47
     848425 |      4,863        0.08       80.56
     239405 |      4,835        0.08       80.64
     231315 |      4,795        0.08       80.72
     517230 |      4,785        0.08       80.80
     142115 |      4,767        0.08       80.88
     214205 |      4,766        0.08       80.96
     231110 |      4,759        0.08       81.04
     784110 |      4,692        0.08       81.12
     723315 |      4,638        0.08       81.19
     517310 |      4,633        0.08       81.27
     413210 |      4,608        0.08       81.35
     511215 |      4,605        0.08       81.43
     514215 |      4,592        0.08       81.50
     721210 |      4,550        0.08       81.58
     642015 |      4,522        0.08       81.66
     811770 |      4,515        0.08       81.73
     514110 |      4,511        0.08       81.81
     312105 |      4,462        0.07       81.88
     763010 |      4,442        0.07       81.96
     772105 |      4,409        0.07       82.03
     354135 |      4,407        0.07       82.11
     391215 |      4,377        0.07       82.18
     421105 |      4,354        0.07       82.25
     262410 |      4,348        0.07       82.33
     840105 |      4,304        0.07       82.40
     732130 |      4,301        0.07       82.47
     313215 |      4,267        0.07       82.54
     354130 |      4,260        0.07       82.61
     314110 |      4,183        0.07       82.68
     223710 |      4,141        0.07       82.75
     224120 |      4,108        0.07       82.82
     232150 |      4,106        0.07       82.89
     241005 |      4,039        0.07       82.96
     848515 |      4,037        0.07       83.03
     515330 |      4,034        0.07       83.09
     765235 |      4,022        0.07       83.16
     724220 |      4,015        0.07       83.23
     513610 |      3,984        0.07       83.30
     763105 |      3,960        0.07       83.36
     422205 |      3,952        0.07       83.43
     953115 |      3,941        0.07       83.50
     632120 |      3,882        0.07       83.56
     223605 |      3,834        0.06       83.63
     862205 |      3,818        0.06       83.69
     725010 |      3,811        0.06       83.75
     251510 |      3,800        0.06       83.82
     231340 |      3,767        0.06       83.88
      21205 |      3,766        0.06       83.94
     420135 |      3,754        0.06       84.01
     731135 |      3,745        0.06       84.07
     141410 |      3,723        0.06       84.13
     123105 |      3,679        0.06       84.19
     223208 |      3,660        0.06       84.26
     911205 |      3,598        0.06       84.32
     212410 |      3,594        0.06       84.38
     828110 |      3,592        0.06       84.44
     413205 |      3,584        0.06       84.50
     222110 |      3,578        0.06       84.56
     517215 |      3,567        0.06       84.62
     716405 |      3,559        0.06       84.68
     414115 |      3,552        0.06       84.74
     731320 |      3,545        0.06       84.80
     354140 |      3,530        0.06       84.85
     313105 |      3,428        0.06       84.91
     231310 |      3,423        0.06       84.97
     715545 |      3,419        0.06       85.03
     141615 |      3,400        0.06       85.08
     333115 |      3,334        0.06       85.14
     631210 |      3,328        0.06       85.20
     723330 |      3,325        0.06       85.25
     773120 |      3,307        0.06       85.31
     515135 |      3,300        0.06       85.36
     715610 |      3,293        0.06       85.42
     622015 |      3,287        0.06       85.47
     752305 |      3,246        0.05       85.53
     414120 |      3,221        0.05       85.58
     334105 |      3,214        0.05       85.64
     732105 |      3,210        0.05       85.69
     919110 |      3,184        0.05       85.74
     142205 |      3,174        0.05       85.80
     513415 |      3,162        0.05       85.85
     823325 |      3,143        0.05       85.90
     513420 |      3,135        0.05       85.96
     342315 |      3,116        0.05       86.01
     716525 |      3,080        0.05       86.06
     314410 |      3,072        0.05       86.11
     766315 |      3,049        0.05       86.16
     271105 |      3,027        0.05       86.21
     420105 |      3,005        0.05       86.26
     313310 |      2,997        0.05       86.31
     515305 |      2,992        0.05       86.36
     234810 |      2,976        0.05       86.41
     761005 |      2,942        0.05       86.46
     763320 |      2,935        0.05       86.51
     223305 |      2,897        0.05       86.56
     351305 |      2,886        0.05       86.61
     313315 |      2,883        0.05       86.66
     763110 |      2,883        0.05       86.71
     724510 |      2,864        0.05       86.76
     301105 |      2,863        0.05       86.80
     300305 |      2,849        0.05       86.85
     515210 |      2,847        0.05       86.90
     951315 |      2,821        0.05       86.95
     410240 |      2,777        0.05       86.99
     324115 |      2,768        0.05       87.04
     513215 |      2,754        0.05       87.09
     783220 |      2,741        0.05       87.13
     764005 |      2,707        0.05       87.18
     377110 |      2,704        0.05       87.22
     519925 |      2,696        0.05       87.27
     313205 |      2,670        0.04       87.31
     519940 |      2,630        0.04       87.36
     312320 |      2,626        0.04       87.40
     770105 |      2,610        0.04       87.44
     351810 |      2,601        0.04       87.49
     715130 |      2,595        0.04       87.53
     513430 |      2,579        0.04       87.58
     721430 |      2,577        0.04       87.62
     721405 |      2,561        0.04       87.66
     951320 |      2,550        0.04       87.70
     234616 |      2,542        0.04       87.75
     722215 |      2,537        0.04       87.79
     371410 |      2,525        0.04       87.83
     521120 |      2,525        0.04       87.87
     410205 |      2,519        0.04       87.92
     823320 |      2,518        0.04       87.96
     317205 |      2,517        0.04       88.00
     141710 |      2,480        0.04       88.04
     142315 |      2,479        0.04       88.08
     724435 |      2,441        0.04       88.13
     324205 |      2,414        0.04       88.17
     731125 |      2,394        0.04       88.21
     724115 |      2,393        0.04       88.25
     910105 |      2,382        0.04       88.29
     232110 |      2,379        0.04       88.33
     715110 |      2,378        0.04       88.37
     991305 |      2,370        0.04       88.41
     321105 |      2,362        0.04       88.45
     913115 |      2,355        0.04       88.49
     351405 |      2,352        0.04       88.53
     232165 |      2,325        0.04       88.56
     233135 |      2,308        0.04       88.60
     142705 |      2,301        0.04       88.64
     731120 |      2,299        0.04       88.68
     951305 |      2,281        0.04       88.72
     410225 |      2,273        0.04       88.76
     413105 |      2,273        0.04       88.79
     513440 |      2,273        0.04       88.83
     239215 |      2,269        0.04       88.87
     954125 |      2,264        0.04       88.91
     782320 |      2,254        0.04       88.95
     773415 |      2,250        0.04       88.98
     721105 |      2,243        0.04       89.02
     762005 |      2,238        0.04       89.06
     311105 |      2,234        0.04       89.10
     766205 |      2,226        0.04       89.13
     234510 |      2,210        0.04       89.17
     311110 |      2,204        0.04       89.21
     841484 |      2,196        0.04       89.25
     313115 |      2,195        0.04       89.28
     721225 |      2,190        0.04       89.32
     841810 |      2,189        0.04       89.36
     641005 |      2,163        0.04       89.39
     862305 |      2,130        0.04       89.43
      10305 |      2,127        0.04       89.46
     318610 |      2,122        0.04       89.50
     721325 |      2,109        0.04       89.54
     251215 |      2,106        0.04       89.57
     712205 |      2,099        0.04       89.61
     519210 |      2,097        0.04       89.64
     622005 |      2,079        0.03       89.68
     221205 |      2,075        0.03       89.71
     821450 |      2,061        0.03       89.75
     622315 |      2,052        0.03       89.78
     410235 |      2,047        0.03       89.81
     121010 |      2,045        0.03       89.85
     841408 |      2,045        0.03       89.88
     321110 |      2,040        0.03       89.92
     232130 |      2,037        0.03       89.95
     623315 |      2,036        0.03       89.99
     623015 |      2,035        0.03       90.02
     395105 |      2,023        0.03       90.05
     731175 |      2,022        0.03       90.09
     763310 |      2,011        0.03       90.12
     233210 |      2,006        0.03       90.16
     301110 |      1,998        0.03       90.19
     141405 |      1,995        0.03       90.22
     422320 |      1,995        0.03       90.26
     723320 |      1,984        0.03       90.29
     332105 |      1,978        0.03       90.32
     515225 |      1,958        0.03       90.36
     519315 |      1,958        0.03       90.39
     322130 |      1,954        0.03       90.42
     421205 |      1,950        0.03       90.45
     848315 |      1,950        0.03       90.49
     351430 |      1,940        0.03       90.52
     716510 |      1,937        0.03       90.55
     214905 |      1,934        0.03       90.58
     513615 |      1,930        0.03       90.62
     623115 |      1,902        0.03       90.65
     813115 |      1,897        0.03       90.68
     715140 |      1,893        0.03       90.71
     313120 |      1,891        0.03       90.74
      21110 |      1,851        0.03       90.77
     818110 |      1,839        0.03       90.81
     919205 |      1,834        0.03       90.84
     523110 |      1,822        0.03       90.87
     715205 |      1,820        0.03       90.90
     760310 |      1,809        0.03       90.93
     832125 |      1,808        0.03       90.96
     142405 |      1,786        0.03       90.99
     354305 |      1,786        0.03       91.02
     351105 |      1,780        0.03       91.05
     841115 |      1,780        0.03       91.08
     620105 |      1,777        0.03       91.11
     233225 |      1,768        0.03       91.14
     991315 |      1,758        0.03       91.17
     520105 |      1,748        0.03       91.20
     516505 |      1,743        0.03       91.23
     142605 |      1,741        0.03       91.26
     821405 |      1,738        0.03       91.28
     223810 |      1,731        0.03       91.31
     516310 |      1,728        0.03       91.34
     231325 |      1,725        0.03       91.37
     761410 |      1,720        0.03       91.40
     722205 |      1,710        0.03       91.43
     517415 |      1,705        0.03       91.46
     414205 |      1,697        0.03       91.49
     252525 |      1,668        0.03       91.51
     519320 |      1,665        0.03       91.54
     911120 |      1,664        0.03       91.57
     623020 |      1,657        0.03       91.60
     232105 |      1,656        0.03       91.63
     322405 |      1,651        0.03       91.65
     715405 |      1,642        0.03       91.68
     724515 |      1,639        0.03       91.71
     725705 |      1,634        0.03       91.74
     782115 |      1,622        0.03       91.76
     141605 |      1,619        0.03       91.79
     252205 |      1,611        0.03       91.82
     334115 |      1,611        0.03       91.84
     253225 |      1,606        0.03       91.87
      31210 |      1,591        0.03       91.90
     318805 |      1,578        0.03       91.92
     818105 |      1,576        0.03       91.95
     761815 |      1,570        0.03       91.98
     254410 |      1,568        0.03       92.00
     512105 |      1,565        0.03       92.03
     517220 |      1,554        0.03       92.06
     848115 |      1,551        0.03       92.08
     519905 |      1,548        0.03       92.11
     142210 |      1,531        0.03       92.13
     841468 |      1,519        0.03       92.16
     233215 |      1,517        0.03       92.19
     232125 |      1,514        0.03       92.21
     773510 |      1,511        0.03       92.24
     342305 |      1,505        0.03       92.26
     313130 |      1,495        0.03       92.29
     841815 |      1,494        0.03       92.31
     515140 |      1,493        0.03       92.34
     513605 |      1,491        0.03       92.36
     142520 |      1,489        0.03       92.39
     253115 |      1,482        0.02       92.41
     515110 |      1,478        0.02       92.44
     252715 |      1,450        0.02       92.46
     821445 |      1,438        0.02       92.48
     782505 |      1,434        0.02       92.51
     732110 |      1,426        0.02       92.53
     773110 |      1,423        0.02       92.56
     761309 |      1,418        0.02       92.58
     322420 |      1,403        0.02       92.60
     911325 |      1,402        0.02       92.63
     314120 |      1,400        0.02       92.65
     724415 |      1,393        0.02       92.67
     411045 |      1,383        0.02       92.70
     766120 |      1,376        0.02       92.72
     224125 |      1,361        0.02       92.74
     314115 |      1,360        0.02       92.77
     811775 |      1,358        0.02       92.79
     761330 |      1,356        0.02       92.81
     415210 |      1,345        0.02       92.83
     811715 |      1,337        0.02       92.86
     231320 |      1,334        0.02       92.88
     317105 |      1,326        0.02       92.90
     782205 |      1,321        0.02       92.92
     991310 |      1,308        0.02       92.95
     214305 |      1,304        0.02       92.97
     391130 |      1,304        0.02       92.99
     251225 |      1,303        0.02       93.01
     772110 |      1,301        0.02       93.03
     711210 |      1,298        0.02       93.06
     141420 |      1,296        0.02       93.08
     914415 |      1,295        0.02       93.10
     141305 |      1,287        0.02       93.12
     763325 |      1,278        0.02       93.14
     515310 |      1,274        0.02       93.16
     111220 |      1,273        0.02       93.18
     352205 |      1,271        0.02       93.21
     992205 |      1,269        0.02       93.23
     516305 |      1,266        0.02       93.25
     730105 |      1,262        0.02       93.27
     519910 |      1,252        0.02       93.29
     632215 |      1,249        0.02       93.31
     141115 |      1,244        0.02       93.33
     141515 |      1,242        0.02       93.35
     342120 |      1,239        0.02       93.37
     766215 |      1,232        0.02       93.40
     354210 |      1,222        0.02       93.42
     510310 |      1,222        0.02       93.44
     111405 |      1,213        0.02       93.46
     784120 |      1,212        0.02       93.48
     251505 |      1,196        0.02       93.50
